t,tempo_tot,temperatura,energia,fase_1,fase_2,fase_3,fase_4,fase_5,plastificante,antioxidante
0,0.5231211621260329,-0.5936369582647467,0.06557557007376481,-0.3207673968178608,0.5085695273902671,0.23836614186610042,0.7333507468621996,-0.028891547201366302,0.8847302342188722,-0.4033178904395682
1,1.402689122166583,-0.7315362081626361,1.1988847062115684,0.15579729559478528,0.5085695273902671,0.23836614186610042,1.7077483482219704,-0.028891547201366302,0.8926353514147166,-0.15613665524368284
2,0.3137002192592353,-0.5476705416321177,0.4976701463710782,-0.6571660032267875,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8915060489581674,-0.22061871659913151
3,0.6487737278461114,-0.6702476526524626,0.5945687517556294,-0.29273417961711695,0.5085695273902671,0.23836614186610042,0.9199375215906663,-0.028891547201366302,0.8854831025232386,-0.29584778818048707
4,0.6766965202283511,-0.5017041249994886,0.46723281108129844,-0.516999917223068,0.5085695273902671,0.23836614186610042,1.106524296319133,-0.028891547201366302,0.8884945757407033,-0.4892939722468331
5,0.3137002192592353,-0.24122776408125426,0.36725194389525084,-0.6571660032267875,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8854831025232386,-0.39257088021366127
6,0.3137002192592353,-0.3791270139791415,0.19811282753812162,-0.6571660032267875,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8854831025232386,-0.1991246961473153
7,0.34162301164147496,-0.56299268050966,0.17441793993911586,-0.6571660032267875,0.5085695273902671,0.23836614186610042,0.7333507468621996,-0.028891547201366302,0.8926353514147166,-0.5000409824727424
8,0.6906579164194709,-0.6242812360198335,0.29520407428526596,-0.6571660032267875,0.5085695273902671,0.23836614186610042,1.2309154794714443,-0.028891547201366302,0.8956468246321814,-0.15613665524368284
9,0.3137002192592353,-0.6242812360198335,0.34471290447180636,-0.6571660032267875,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8937646538712658,-0.4355589211172937
10,0.29973882306811545,-0.56299268050966,0.24723637499947446,-0.6851992204275313,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8930117855668994,-0.4248119108913844
11,0.32766161545035516,-0.5783148193872044,0.45971979794015005,-0.6571660032267875,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8854831025232386,-0.4677999517950169
12,0.34162301164147496,-0.3791270139791415,0.16825341633612254,-0.6291327860260436,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8847302342188722,-0.3603298495359358
13,0.29973882306811545,-0.27187204183634106,0.3894057005935078,-0.6851992204275313,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8809658926970417,-0.1991246961473153
14,0.2857774268769956,-0.5017041249994886,1.0445789747741414,-0.6010995688252997,0.21844272081239077,0.23836614186610042,0.6918870191447626,-0.028891547201366302,-1.5937122237543409,0.47793694808489695
15,0.2718160306858758,0.12650356897978268,1.4036624746485025,-0.6571660032267875,0.21844272081239077,0.23836614186610042,0.6918870191447626,-0.028891547201366302,-1.5948415262108901,0.6498891116994243
16,0.25785463449475593,0.23375854112258532,1.2643827694933722,-0.6571660032267875,0.21844272081239077,0.23836614186610042,0.6918870191447626,-0.028891547201366302,-1.5948415262108901,0.48868395831080386
17,0.425391388788194,-0.04203995867319349,1.353961003099369,-0.09650165921190972,0.21844272081239077,-0.02895898207817796,0.6918870191447626,-0.028891547201366302,-1.5948415262108901,0.6391421014735174
18,-0.21683283600331862,0.2950470966327567,0.7881733211621382,-0.6571660032267875,0.21844272081239077,0.23836614186610042,-0.012996352051667336,-0.028891547201366302,-1.5974765652761713,0.3489728253739996
19,-0.07721887409212023,-3.1830784285695435,-0.355538448555716,4.192580572501905,-1.594849820299336,-1.3358818102502057,-1.7752047800427422,-0.028891547201366302,-1.5959708286674392,0.42420189695535515
20,1.7796468193268185,-0.2871941807138833,0.1566949345805103,9.799224012650683,-1.594849820299336,-3.2962660525082472,-1.7752047800427422,-0.028891547201366302,-1.5959708286674392,0.42420189695535515
21,-2.0876599256133774,-2.937924206528851,-0.8215379046694923,0.15579729559478528,-1.594849820299336,-1.3358818102502057,-1.7752047800427422,-0.028891547201366302,-1.5959708286674392,0.42420189695535515
22,0.048433691627958325,-0.3638048751015992,-0.07852016914620356,4.472912744509344,-1.594849820299336,-1.3358818102502057,-1.7752047800427422,-0.028891547201366302,-1.5959708286674392,0.42420189695535515
23,-1.3756287198662653,-0.026717819795649012,-0.2366787278355012,4.276680224104137,-1.9575083285216814,-4.038835841242354,-1.7752047800427422,-0.028891547201366302,-1.5959708286674392,0.42420189695535515
24,-0.1749486474299591,2.271603011835824,0.7775780462194934,4.024381269297442,-1.594849820299336,-1.3358818102502057,-1.7752047800427422,-0.028891547201366302,-1.5959708286674392,0.42420189695535515
25,0.9978086326241075,0.6781005685713359,0.6182636393546346,0.3520298159999925,0.21844272081239077,0.23836614186610042,1.0443287047429775,-0.028891547201366302,-1.5963472628196222,0.4564429276330807
26,0.32766161545035516,0.9079326517344857,0.26650051125882884,-0.6291327860260436,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.890753180653801,-0.3603298495359358
27,0.39746859640595433,0.7087448463264227,0.3884424937805403,-0.46093348282158025,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8918824831103502,-0.29584778818048707
28,0.5650053506993924,0.724066985203965,0.2859572888807763,-0.1525680936133975,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8862359708276049,-0.3388358290841195
29,0.7883876897573099,0.892610512856939,0.33854838086881306,0.2959633815985047,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.890753180653801,-0.1991246961473153
30,0.48123697355267336,0.8466440962243121,0.4310162349137129,-0.3207673968178608,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8903767465016182,-0.4355589211172937
31,1.0257314250063472,0.6934227074488803,0.340282153132155,0.7725280740111509,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8847302342188722,-0.22061871659913151
32,0.6068895392727519,0.47891276316327513,0.35434497260148357,-0.06846844201116584,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8884945757407033,-0.29584778818048707
33,0.3695458040237147,0.4176242076531016,0.25474938814062215,-0.545033134423812,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8926353514147166,-0.18837768592140597
34,0.5650053506993924,0.386979929898017,0.4836073269017496,-0.1525680936133975,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8915060489581674,-0.1238956245659573
35,0.34162301164147496,0.6474562908162491,0.35241855897554786,-0.6010995688252997,0.5085695273902671,0.23836614186610042,0.6918870191447626,-0.028891547201366302,0.8858595366754214,-0.16688366546958974
